Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres,image_url
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",4,4.49,Random House,Hardcover,352,2018,2018,2019/05/15,2018/12/03,,,read,An emotionally complex and revealing account of life among religious fervor and possible mental illness.,,,1,,,0,,,,,,"2019-05-10,2019-05-15","Nonfiction|5289;Autobiography,Memoir|4215;Biography|1448",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635i/35133922._SX98_.jpg
35068671,The Perfectionists: How Precision Engineers Created the Modern World,Simon Winchester,"Winchester, Simon",,"=""0062652575""","=""9780062652577""",3,4.12,Harper,ebook,416,2018,2018,2019/05/10,2018/06/18,"sociology, entertaining-history, audio","sociology (#3), entertaining-history (#2), audio (#24)",read,Another insightful history of technology,,,1,,,0,,,,,,"2019-05-06,2019-05-10","History|127;Science|102;Nonfiction|97;Science,Technology|31;Audiobook|15",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516546714i/35068671._SX98_.jpg
31752980,The Physics of Everyday Things: The Extraordinary Science Behind an Ordinary Day,James Kakalios,"Kakalios, James",,"=""0770437737""","=""9780770437732""",3,3.25,Crown Publishing Group (NY),Hardcover,256,2017,2017,2019/05/06,2018/04/13,"tech, science, audio","tech (#27), science (#1), audio (#23)",read,A neat literature experiment with a fun overview of modern technology.,,,1,,,0,,,,,,"2019-05-01,2019-05-06","Science|68;Nonfiction|58;Science,Physics|13",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483408722i/31752980._SX98_.jpg
29939230,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,"=""0765387468""","=""9780765387462""",4,4.39,Tor Books,Hardcover,624,2017,2017,2019/04/26,2019/04/22,audio,audio (#25),read,A rousing conclusion that takes its time.,,,1,,,0,,,,,,"2019-04-22,2019-04-26","Fantasy|4703;Young Adult|552;Fiction|542;Fantasy,Magic|490",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464017758i/29939230._SX98_.jpg
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",4,4.48,Crown,Hardcover,418,2016,2016,2019/05/01,2017/12/09,"sociology, audio","sociology (#1), audio (#22)",read,Jarring and extremely relavant,,,1,,,0,,,,,,"2019-04-26,2019-05-01","Nonfiction|2474;Sociology|496;Politics|390;Social Movements,Social Justice|243;History|233",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453060710i/25852784._SX98_.jpg
5306,Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,"=""0142000701""","=""9780142000700""",4,4.08,Penguin,Paperback,214,2002,1962,2018/07/24,2018/07/10,audio,audio (#21),read,,,,1,,,0,,,,,,"2018-07-10,2018-07-24","Nonfiction|1223;Travel|1175;Classics|852;Autobiography,Memoir|499;Biography|205;Literature|138;Biography Memoir|100;Literature,American|97;Adventure|85;History|77",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7054123,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,"Blum, Deborah",,"=""1594202435""","=""9781594202438""",3,4.00,Penguin Press,Hardcover,319,2010,2010,2018/04/13,2017/08/23,audio,audio (#15),read,,,,1,,,0,,,,,,"2018-04-13,2018-04-13","Nonfiction|1539;History|998;Science|888;Crime,True Crime|439;Mystery,Crime|234;Historical|116",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",2,4.06,Anchor Books,Mass Market Paperback,397,2006,1997,2018/02/26,2018/02/20,audio,audio (#18),read,,,,1,,,0,,,,,,"2018-02-20,2018-02-26","Nonfiction|5365;Travel|3598;Humor|1448;Autobiography,Memoir|1314;Environment,Nature|712;Adventure|566",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,"=""1565125606""","=""9781565125605""",4,4.08,Algonquin Books,Paperback,335,2007,2006,2018/03/21,2018/03/19,audio,audio (#19),read,,,,1,,,0,,,,,,"2018-03-19,2018-03-21","Fiction|9236;Historical,Historical Fiction|5204;Romance|2711;Historical|1135",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973i/43641._SX98_.jpg
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",4,4.12,Penguin Press,Hardcover,338,2017,2017,2018/08/15,2017/10/16,"novel, audio","novel (#12), audio (#16)",read,"This was really something special, the backstories given so generously and frequently about even the slightest of side characters added a depth and understanding unparalleled.",,,1,,,0,,,,,,"2018-07-28,2018-08-15",Fiction|5098;Contemporary|1486;Audiobook|701,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522684533i/34273236._SX98_.jpg
24817626,"Go Set a Watchman (To Kill a Mockingbird, #2)",Harper Lee,"Lee, Harper",,"=""0062409859""","=""9780062409850""",3,3.31,HarperCollins,Hardcover,278,2015,2015,2018/06/02,2018/06/02,audio,audio (#20),read,,,,1,,,0,,,,,,"2018-06-02,2018-06-02","Fiction|3984;Historical,Historical Fiction|1580;Classics|1311",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451442088i/24817626._SX98_.jpg
412732,The Dharma Bums,Jack Kerouac,"Kerouac, Jack",,"=""""","=""""",3,3.92,Penguin Books,Paperback,244,1986,1958,2018/02/20,2018/02/20,audio,audio (#17),read,,,,1,,,0,,,,,,"2018-02-20,2018-02-20",Fiction|1333;Classics|501;Literature|206;Novels|138,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428986082i/412732._SX98_.jpg
